country,happiness_rank,happiness_score,gdp_per_capita,family,life_expectancy,freedom,generosity,government_corr,social_support,continent
Finland,1,7.769,1.34,,0.986,0.596,0.153,0.393,1.587,Europe
Denmark,2,7.6,1.383,,0.996,0.592,0.252,0.41,1.573,Europe
Norway,3,7.554,1.488,,1.028,0.603,0.271,0.341,1.582,Europe
Iceland,4,7.494,1.38,,1.026,0.591,0.354,0.118,1.624,Europe
Netherlands,5,7.488,1.396,,0.999,0.557,0.322,0.298,1.522,Europe
Switzerland,6,7.48,1.452,,1.052,0.572,0.263,0.343,1.526,Europe
Sweden,7,7.343,1.387,,1.009,0.574,0.267,0.373,1.487,Europe
New Zealand,8,7.307,1.303,,1.026,0.585,0.33,0.38,1.557,Oceania
Canada,9,7.278,1.365,,1.039,0.584,0.285,0.308,1.505,North America
Austria,10,7.246,1.376,,1.016,0.532,0.244,0.226,1.475,Europe
Australia,11,7.228,1.372,,1.036,0.557,0.332,0.29,1.548,Oceania
Costa Rica,12,7.167,1.034,,0.963,0.558,0.144,0.093,1.441,North America
Israel,13,7.139,1.276,,1.029,0.371,0.261,0.082,1.455,Asia
Luxembourg,14,7.09,1.609,,1.012,0.526,0.194,0.316,1.479,Europe
United Kingdom,15,7.054,1.333,,0.996,0.45,0.348,0.278,1.538,Europe
Ireland,16,7.021,1.499,,0.999,0.516,0.298,0.31,1.553,Europe
Germany,17,6.985,1.373,,0.987,0.495,0.261,0.265,1.454,Europe
Belgium,18,6.923,1.356,,0.986,0.473,0.16,0.21,1.504,Europe
United States,19,6.892,1.433,,0.874,0.454,0.28,0.128,1.457,[null]
Czech Republic,20,6.852,1.269,,0.92,0.457,0.046,0.036,1.487,[null]
United Arab Emirates,21,6.825,1.503,,0.825,0.598,0.262,0.182,1.31,Asia
Malta,22,6.726,1.3,,0.999,0.564,0.375,0.151,1.52,Europe
Mexico,23,6.595,1.07,,0.861,0.433,0.074,0.073,1.323,North America
France,24,6.592,1.324,,1.045,0.436,0.111,0.183,1.472,Europe
Taiwan,25,6.446,1.368,,0.914,0.351,0.242,0.097,1.43,[null]
Chile,26,6.444,1.159,,0.92,0.357,0.187,0.056,1.369,South America
Guatemala,27,6.436,0.8,,0.746,0.535,0.175,0.078,1.269,North America
Saudi Arabia,28,6.375,1.403,,0.795,0.439,0.08,0.132,1.357,Asia
Qatar,29,6.374,1.684,,0.871,0.555,0.22,0.167,1.313,Asia
Spain,30,6.354,1.286,,1.062,0.362,0.153,0.079,1.484,Europe
Panama,31,6.321,1.149,,0.91,0.516,0.109,0.054,1.442,North America
Brazil,32,6.3,1.004,,0.802,0.39,0.099,0.086,1.439,South America
Uruguay,33,6.293,1.124,,0.891,0.523,0.127,0.15,1.465,South America
Singapore,34,6.262,1.572,,1.141,0.556,0.271,0.453,1.463,Asia
El Salvador,35,6.253,0.794,,0.789,0.43,0.093,0.074,1.242,North America
Italy,36,6.223,1.294,,1.039,0.231,0.158,0.03,1.488,Europe
Bahrain,37,6.199,1.362,,0.871,0.536,0.255,0.11,1.368,Asia
Slovakia,38,6.198,1.246,,0.881,0.334,0.121,0.014,1.504,Europe
Trinidad & Tobago,39,6.192,1.231,,0.713,0.489,0.185,0.016,1.477,[null]
Poland,40,6.182,1.206,,0.884,0.483,0.117,0.05,1.438,Europe
Uzbekistan,41,6.174,0.745,,0.756,0.631,0.322,0.24,1.529,Asia
Lithuania,42,6.149,1.238,,0.818,0.291,0.043,0.042,1.515,Europe
Colombia,43,6.125,0.985,,0.841,0.47,0.099,0.034,1.41,South America
Slovenia,44,6.118,1.258,,0.953,0.564,0.144,0.057,1.523,Europe
Nicaragua,45,6.105,0.694,,0.835,0.435,0.2,0.127,1.325,North America
Kosovo,46,6.1,0.882,,0.758,0.489,0.262,0.006,1.232,[null]
Argentina,47,6.086,1.092,,0.881,0.471,0.066,0.05,1.432,South America
Romania,48,6.07,1.162,,0.825,0.462,0.083,0.005,1.232,Europe
Cyprus,49,6.046,1.263,,1.042,0.406,0.19,0.041,1.223,Europe
Ecuador,50,6.028,0.912,,0.868,0.498,0.126,0.087,1.312,South America
Kuwait,51,6.021,1.5,,0.808,0.493,0.142,0.097,1.319,Asia
Thailand,52,6.008,1.05,,0.828,0.557,0.359,0.028,1.409,Asia
Latvia,53,5.94,1.187,,0.812,0.264,0.075,0.064,1.465,Europe
South Korea,54,5.895,1.301,,1.036,0.159,0.175,0.056,1.219,[null]
Estonia,55,5.893,1.237,,0.874,0.495,0.103,0.161,1.528,Europe
Jamaica,56,5.89,0.831,,0.831,0.49,0.107,0.028,1.478,North America
Mauritius,57,5.888,1.12,,0.798,0.498,0.215,0.06,1.402,Africa
Japan,58,5.886,1.327,,1.088,0.445,0.069,0.14,1.419,Asia
Honduras,59,5.86,0.642,,0.828,0.507,0.246,0.078,1.236,North America
Kazakhstan,60,5.809,1.173,,0.729,0.41,0.146,0.096,1.508,Asia
Bolivia,61,5.779,0.776,,0.706,0.511,0.137,0.064,1.209,South America
Hungary,62,5.758,1.201,,0.828,0.199,0.081,0.02,1.41,Europe
Paraguay,63,5.743,0.855,,0.777,0.514,0.184,0.08,1.475,South America
Northern Cyprus,64,5.718,1.263,,1.042,0.417,0.191,0.162,1.252,[null]
Peru,65,5.697,0.96,,0.854,0.455,0.083,0.027,1.274,South America
Portugal,66,5.693,1.221,,0.999,0.508,0.047,0.025,1.431,Europe
Pakistan,67,5.653,0.677,,0.535,0.313,0.22,0.098,0.886,Asia
Russia,68,5.648,1.183,,0.726,0.334,0.082,0.031,1.452,[null]
