happiness_rank,country,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,government_corr,continent,family,population
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,Asia,,1641.164
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,Europe,,5457.012
39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,North America,,1394.969
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,Europe,,37887.771
41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,Asia,,32981.715
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,Europe,,2759.631
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,South America,,50339.443
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Europe,,2078.654
45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,North America,,6545.503
46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,Europe,,1617
47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,South America,,44780.675
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,Europe,,19364.558
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,Europe,,1198.574
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,South America,,17373.657
51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,Asia,,4207.077
52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Asia,,69625.581
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,Europe,,1906.74
54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,Asia,,25666.158
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Europe,,1325.649
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,North America,,2948.277
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,Africa,,1269.67
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,Asia,,126860.299
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,North America,,9746.115
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Asia,,18551.428
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,South America,,11513.102
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,Europe,,9684.68
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,South America,,7044.639
64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,Europe,,1198.575
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,South America,,32510.462
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Europe,,10226.178
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,Asia,,216565.317
68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Asia,,145872.26
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Asia,,108116.622
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Europe,,8772.228
71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0,Europe,,4043.258
72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,Africa,,6777.453
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,Europe,,627.988
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,Asia,,9321.023
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Europe,,4130.299
76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,Asia,,7436.157
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,North America,,10738.957
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,Europe,,3300.998
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,Asia,,83429.607
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,Asia,,31949.789
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,Europe,,9452.409
82,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034,Europe,,10473.452
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,Asia,,3225.166
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,Europe,,2083.458
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,Africa,,200963.603
86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,Asia,,6415.851
87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,Asia,,5942.094
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,Africa,,43053.054
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,Africa,,36471.766
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,Europe,,10047.719
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,Asia,,6855.709
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,Asia,,270625.567
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,Asia,,1433783.692
94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Asia,,96462.108
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,Asia,,763.094
96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,Africa,,25876.387
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,Europe,,7000.117
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,Africa,,30417.858
99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,Africa,,25716.554
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,Asia,,28608.715
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,Asia,,10101.697
102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,Africa,,11801.151
103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,Africa,,5380.504
104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,Africa,,2172.578
105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,Asia,,7169.456
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,Africa,,58558.267
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,Europe,,2880.913
108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,South America,,28515.829
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,Asia,,16486.542
110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,Asia,,4981.422
111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,Africa,,16296.362
112,Somalia,4.668,0,0.698,0.268,0.559,0.243,0.27,Africa,,15442.906
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,Africa,,2494.524
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,Africa,,23310.719
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,Africa,,20321.383
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,Europe,,2957.728
117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,Asia,,82913.893
118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,Africa,,12771.246
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,Europe,,3996.762
120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,Africa,,2347.696
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Africa,,52573.967
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,Africa,,4525.698
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,Africa,,30366.043
124,Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055,Africa,,11694.721
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,Asia,,163046.173
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,Asia,,39309.789
127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,Africa,,86790.568
128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,Africa,,19658.023
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Africa,,7813.207
130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,Asia,,21323.734
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,Asia,,54045.422
132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,Africa,,15946.882
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,Europe,,43993.643
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,Africa,,112078.727
135,Swaziland,4.212,0.811,1.149,0,0.313,0.074,0.135,Africa,,1148.133
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,Africa,,44269.587
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Africa,,100388.076
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Africa,,17861.034
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,Africa,,8082.359
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,Asia,,1366417.756
141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,Africa,,4937.374
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,Africa,,850.891
143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,Africa,,26969.306
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,Africa,,2125.267
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,Africa,,11530.577
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Africa,,14645.473
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,North America,,11263.079
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,Africa,,2303.703
149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,Asia,,17070.132
150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,Africa,,18628.749
151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Asia,,29161.922
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Africa,,12626.938
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Africa,,58005.461
154,Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025,Asia,,38041.757
155,Central African Republic,3.083,0.026,0,0.105,0.225,0.235,0.035,Africa,,4745.179
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,Africa,,11062.114
